OrderID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,order_date
B-25729,1549,-439,4,Electronics,Phones,Credit Card,12-07-2020
B-25772,1183,106,4,Electronics,Printers,EMI,26-05-2019
B-25655,74,-123,8,Clothing,Skirt,UPI,12-09-2020
B-25640,1499,239,13,Clothing,Saree,Credit Card,10-01-2012
B-25810,1120,199,6,Clothing,Saree,EMI,26-03-2017
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,05-04-2010
B-26085,1487,624,3,Clothing,Trousers,Credit Card,27-05-2019
B-25868,1118,206,2,Furniture,Tables,Credit Card,08-06-2017
B-25714,11,-5,2,Clothing,Hankerchief,COD,10-12-2013
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,08-05-2016
B-25608,1364,1864,5,Furniture,Tables,Credit Card,27-03-2012
B-26051,1337,147,7,Electronics,Printers,Credit Card,16-02-2014
B-25900,15,2,1,Clothing,Leggings,Debit Card,18-12-2014
B-25760,322,-193,5,Electronics,Printers,UPI,23-10-2012
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,27-07-2013
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,19-07-2019
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,26-12-2018
B-25967,17,2,2,Clothing,Skirt,Debit Card,07-10-2012
B-25674,17,-12,5,Clothing,Skirt,Debit Card,22-09-2013
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,18-11-2016
B-25777,1076,-38,4,Electronics,Printers,Credit Card,17-07-2016
B-26006,1301,573,5,Electronics,Accessories,Credit Card,09-06-2012
B-25697,1300,-16,8,Electronics,Printers,Credit Card,05-10-2020
B-25667,11,-2,4,Clothing,Hankerchief,COD,23-12-2017
B-25836,1298,65,9,Electronics,Printers,EMI,20-12-2020
B-25984,304,97,6,Clothing,Stole,UPI,18-12-2013
B-25728,1055,264,4,Electronics,Printers,EMI,28-12-2019
B-25757,17,-13,4,Clothing,Skirt,Debit Card,12-03-2019
B-25957,147,73,3,Clothing,Stole,COD,13-10-2015
B-26061,965,-68,3,Electronics,Printers,COD,13-08-2019
B-25735,12,-2,3,Clothing,Hankerchief,COD,25-08-2013
B-25616,14,-2,3,Clothing,Hankerchief,UPI,10-12-2011
B-25666,934,-916,7,Electronics,Electronic Games,COD,30-08-2016
B-25675,929,-93,9,Clothing,Saree,COD,09-08-2012
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,02-02-2010
B-25850,916,192,11,Electronics,Phones,COD,02-04-2010
B-25693,76,-72,9,Clothing,Hankerchief,COD,29-05-2011
B-25852,869,67,4,Furniture,Tables,COD,06-01-2015
B-25860,112,24,3,Clothing,Kurti,COD,15-02-2015
B-25853,39,16,6,Clothing,Skirt,UPI,08-11-2015
B-25898,857,-274,2,Furniture,Tables,COD,24-03-2012
B-26100,828,230,2,Furniture,Chairs,COD,21-02-2013
B-25653,1279,-640,8,Electronics,Printers,EMI,06-02-2015
B-25839,1250,486,7,Clothing,Saree,EMI,25-12-2018
B-25651,823,-18,7,Furniture,Chairs,COD,25-03-2011
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,04-07-2018
B-25704,126,-63,3,Electronics,Accessories,UPI,01-06-2011
B-25730,1145,-706,3,Electronics,Phones,Credit Card,20-05-2013
B-26052,774,170,3,Electronics,Accessories,COD,20-06-2015
B-25656,24,-1,2,Clothing,Hankerchief,COD,05-06-2019
B-26033,774,170,3,Electronics,Accessories,COD,17-10-2014
B-25850,93,-1,2,Clothing,Hankerchief,COD,02-03-2017
B-25945,765,-36,3,Electronics,Electronic Games,COD,26-03-2020
B-26086,762,101,6,Electronics,Printers,COD,26-10-2019
B-25752,761,266,9,Electronics,Electronic Games,COD,29-11-2017
B-26098,96,-48,5,Clothing,Leggings,UPI,24-11-2015
B-26067,1137,-14,7,Electronics,Printers,EMI,26-07-2017
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,14-11-2011
B-25986,749,-307,7,Furniture,Furnishings,COD,06-11-2018
B-26067,1120,199,6,Clothing,Saree,EMI,29-01-2011
B-25953,744,119,6,Electronics,Printers,COD,15-10-2017
B-25952,14,0,4,Clothing,Hankerchief,UPI,01-02-2017
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,15-04-2015
B-25650,512,-225,5,Clothing,Saree,COD,14-03-2016
B-25970,742,198,2,Furniture,Bookcases,COD,15-07-2011
B-26062,44,-40,3,Clothing,Stole,COD,12-04-2013
B-25643,1061,-36,8,Furniture,Bookcases,EMI,16-02-2020
B-25632,19,-2,2,Clothing,Leggings,Debit Card,21-09-2014
B-25821,17,0,1,Clothing,Hankerchief,COD,28-10-2017
B-25878,741,267,5,Furniture,Bookcases,COD,05-01-2013
B-25752,735,-235,6,Electronics,Printers,COD,20-11-2017
B-25750,19,-1,1,Clothing,Shirt,Debit Card,25-12-2018
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,10-02-2017
B-25787,556,-209,7,Clothing,Saree,COD,22-07-2015
B-25808,63,-17,6,Clothing,Leggings,COD,12-07-2011
B-25885,734,248,2,Furniture,Chairs,COD,18-05-2018
B-25778,933,166,5,Clothing,Saree,Credit Card,26-01-2019
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,11-06-2011
B-25747,877,395,2,Furniture,Bookcases,Credit Card,08-07-2010
B-25878,719,303,6,Furniture,Chairs,COD,17-06-2017
B-25603,12,1,2,Clothing,Hankerchief,COD,25-06-2013
B-25691,714,56,4,Clothing,Saree,COD,24-07-2020
B-25607,50,-15,4,Clothing,Leggings,COD,31-12-2017
B-25708,709,-100,5,Electronics,Phones,COD,10-10-2016
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,17-03-2013
B-25831,693,254,6,Clothing,Saree,COD,02-01-2012
B-25850,24,1,4,Clothing,Hankerchief,COD,09-12-2010
B-25670,24,1,2,Clothing,Hankerchief,UPI,25-06-2014
B-25852,24,1,2,Clothing,Hankerchief,COD,30-03-2015
B-26029,21,10,1,Clothing,T-shirt,Debit Card,15-05-2017
B-25959,681,259,4,Furniture,Chairs,COD,01-08-2012
B-25676,674,-187,2,Furniture,Tables,COD,05-04-2016
B-26097,671,-309,5,Electronics,Electronic Games,COD,07-09-2010
B-25888,646,-213,3,Electronics,Electronic Games,COD,06-09-2012
B-25911,40,15,1,Clothing,Kurti,COD,18-09-2010
B-25662,24,-2,2,Clothing,T-shirt,COD,16-05-2010
B-25950,644,167,2,Electronics,Printers,COD,08-04-2020
B-25847,643,225,2,Electronics,Printers,COD,18-11-2017
B-25796,632,-316,6,Clothing,Saree,COD,14-07-2018
B-25693,632,316,6,Clothing,Saree,COD,26-12-2017
B-25993,610,208,3,Electronics,Printers,COD,30-04-2011
B-26052,78,-28,6,Clothing,Kurti,UPI,31-08-2019
B-25930,595,119,4,Furniture,Bookcases,COD,20-12-2018
B-25785,595,292,3,Clothing,Saree,COD,24-02-2012
B-26093,852,51,5,Furniture,Bookcases,Credit Card,11-07-2010
B-26053,594,89,3,Furniture,Bookcases,COD,13-12-2014
B-26019,585,175,13,Clothing,T-shirt,COD,04-12-2010
B-26070,582,262,5,Furniture,Furnishings,COD,22-04-2020
B-25870,845,84,7,Clothing,Saree,Credit Card,15-02-2010
B-25855,829,19,4,Electronics,Printers,Credit Card,15-02-2011
B-25602,561,212,3,Clothing,Saree,COD,28-12-2019
B-25728,771,-424,2,Electronics,Phones,Credit Card,17-02-2016
B-25803,765,8,6,Clothing,Saree,EMI,16-01-2011
B-25996,31,2,2,Clothing,Hankerchief,COD,26-07-2013
B-26078,557,-111,2,Electronics,Electronic Games,COD,11-05-2010
B-25803,757,371,2,Electronics,Printers,Credit Card,29-10-2015
B-25682,545,-73,11,Electronics,Phones,COD,25-02-2020
B-25749,1052,-82,3,Furniture,Bookcases,UPI,10-02-2012
B-25962,544,-152,3,Furniture,Bookcases,COD,21-10-2017
B-25899,22,9,2,Clothing,Leggings,Debit Card,01-05-2020
B-25845,757,371,2,Electronics,Printers,Credit Card,24-05-2018
B-25951,742,198,2,Furniture,Bookcases,Credit Card,22-01-2014
B-25828,537,107,3,Clothing,Saree,COD,30-12-2017
B-25803,536,91,1,Clothing,Trousers,COD,12-12-2013
B-25656,6,3,1,Clothing,Hankerchief,COD,05-03-2010
B-25681,523,204,7,Clothing,Trousers,COD,23-09-2015
B-25658,27,9,2,Clothing,T-shirt,UPI,01-09-2016
B-25698,516,392,8,Furniture,Chairs,COD,25-08-2017
B-25832,504,116,3,Furniture,Bookcases,COD,26-05-2011
B-25886,502,84,4,Electronics,Phones,COD,12-10-2013
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,12-02-2017
B-25873,42,12,2,Clothing,Kurti,COD,01-10-2011
B-25858,29,11,4,Clothing,Skirt,COD,01-03-2019
B-25867,240,12,6,Clothing,Kurti,UPI,06-01-2018
B-25633,496,-79,2,Clothing,Trousers,COD,03-11-2017
B-25609,485,29,4,Electronics,Electronic Games,COD,19-06-2016
B-25896,31,-11,3,Clothing,Skirt,UPI,25-05-2012
B-26000,676,151,3,Electronics,Printers,Credit Card,11-02-2019
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,22-04-2017
B-25940,13,3,2,Clothing,Hankerchief,COD,12-07-2012
B-26087,180,0,8,Clothing,Stole,COD,23-12-2017
B-26055,671,114,9,Electronics,Phones,Credit Card,06-07-2015
B-25980,22,11,3,Clothing,Kurti,COD,22-12-2017
B-25653,668,-31,3,Electronics,Printers,Credit Card,05-04-2012
B-26052,145,0,3,Clothing,Saree,UPI,27-11-2020
B-25877,24,8,2,Clothing,Skirt,Debit Card,15-07-2010
B-25608,476,0,3,Furniture,Chairs,COD,20-05-2019
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,02-03-2016
B-25881,37,3,3,Clothing,Hankerchief,COD,27-06-2010
B-25905,152,50,6,Clothing,Stole,UPI,09-08-2011
B-25818,32,11,2,Clothing,Leggings,UPI,12-02-2011
B-25835,52,11,5,Clothing,Leggings,COD,01-12-2018
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,08-06-2017
B-25730,473,42,4,Furniture,Chairs,COD,10-10-2014
B-25837,263,50,5,Clothing,Stole,COD,12-06-2017
B-25893,61,11,3,Clothing,Kurti,COD,17-06-2019
B-25689,469,-459,3,Electronics,Electronic Games,COD,02-10-2019
B-26028,1272,547,2,Electronics,Phones,COD,25-01-2019
B-26081,169,0,3,Electronics,Accessories,COD,27-08-2010
B-25903,25,11,3,Clothing,Leggings,Debit Card,28-08-2013
B-25651,457,-41,4,Clothing,Saree,COD,09-04-2019
B-25903,455,77,8,Electronics,Accessories,COD,09-05-2018
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,09-09-2017
B-25654,450,-90,3,Electronics,Printers,COD,10-01-2011
B-25720,30,-35,1,Furniture,Chairs,COD,24-09-2012
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,21-04-2019
B-25798,448,148,2,Electronics,Printers,COD,18-05-2019
B-25961,446,53,3,Electronics,Printers,COD,22-09-2014
B-25701,98,-45,2,Furniture,Chairs,UPI,03-11-2016
B-26055,443,11,1,Clothing,Saree,COD,04-04-2011
B-25653,427,-50,7,Electronics,Phones,COD,23-02-2019
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,06-05-2019
B-26056,424,161,2,Clothing,Saree,COD,20-09-2020
B-26061,27,8,2,Clothing,T-shirt,Debit Card,19-05-2018
B-25602,424,-272,5,Electronics,Phones,COD,19-01-2011
B-26016,202,4,4,Clothing,Hankerchief,COD,19-06-2015
B-25873,1275,357,2,Electronics,Phones,UPI,01-09-2015
B-25761,418,70,7,Electronics,Phones,COD,26-08-2014
B-25819,417,49,3,Electronics,Electronic Games,COD,15-08-2010
B-25853,199,48,4,Clothing,Stole,UPI,27-10-2013
B-25662,385,-77,11,Furniture,Furnishings,UPI,14-10-2015
B-25993,414,199,3,Electronics,Phones,COD,06-10-2011
B-25703,97,-45,4,Clothing,Saree,COD,18-11-2015
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,07-01-2019
B-25678,27,-25,2,Clothing,Shirt,Debit Card,30-12-2014
B-25925,27,12,1,Clothing,Stole,Debit Card,12-07-2019
B-25977,27,1,1,Clothing,Stole,UPI,16-08-2015
B-25797,413,-314,9,Furniture,Chairs,COD,05-08-2013
B-26067,53,2,4,Clothing,Hankerchief,COD,23-10-2020
B-25810,29,8,5,Clothing,Hankerchief,UPI,22-04-2016
B-25648,30,13,1,Clothing,T-shirt,UPI,11-07-2019
B-25933,412,412,6,Clothing,Saree,COD,11-10-2016
B-25942,646,-23,2,Electronics,Printers,Credit Card,30-09-2013
B-25656,30,-5,5,Clothing,Stole,UPI,26-12-2016
B-26067,618,27,4,Furniture,Bookcases,Credit Card,27-02-2017
B-25673,143,-124,5,Clothing,Saree,UPI,26-06-2017
B-25797,31,1,2,Clothing,Hankerchief,UPI,21-03-2020
B-26098,409,86,3,Clothing,Saree,COD,05-05-2014
B-25656,406,126,2,Clothing,Saree,COD,14-08-2019
B-25791,565,66,7,Clothing,Saree,Credit Card,18-04-2020
B-26053,85,2,6,Clothing,Stole,COD,14-06-2020
B-25983,561,118,5,Furniture,Bookcases,Credit Card,07-03-2012
B-25743,503,-56,2,Clothing,Trousers,COD,03-01-2020
B-25867,31,14,3,Clothing,Stole,UPI,11-12-2015
B-25973,398,111,8,Clothing,Hankerchief,COD,07-09-2011
B-25895,388,93,2,Furniture,Bookcases,COD,05-07-2011
B-26003,498,-116,4,Clothing,Saree,UPI,07-01-2010
B-25717,561,212,3,Clothing,Saree,Credit Card,07-12-2014
B-26064,61,3,4,Clothing,Hankerchief,COD,15-12-2010
B-25630,34,-22,4,Clothing,T-shirt,COD,16-09-2010
B-26050,32,6,3,Clothing,Shirt,UPI,08-11-2013
B-25786,623,-192,3,Furniture,Tables,UPI,02-10-2016
B-26035,520,151,3,Electronics,Phones,Credit Card,24-07-2014
B-25693,32,-16,6,Clothing,Saree,UPI,18-07-2013
B-25703,32,-5,5,Clothing,Hankerchief,UPI,02-09-2016
B-25966,510,234,6,Electronics,Electronic Games,EMI,04-06-2014
B-26060,382,68,3,Clothing,Saree,COD,30-05-2011
B-25898,33,13,3,Clothing,Leggings,UPI,31-08-2011
B-25686,381,-13,2,Clothing,Saree,COD,21-09-2020
B-26051,490,88,2,Electronics,Accessories,EMI,24-06-2014
B-25854,381,144,2,Clothing,Saree,COD,17-08-2020
B-26050,487,143,4,Electronics,Phones,EMI,25-03-2011
B-25961,366,84,3,Furniture,Bookcases,COD,14-01-2020
B-25701,33,-29,3,Clothing,Shirt,UPI,14-06-2012
B-25970,365,107,3,Electronics,Phones,COD,02-07-2012
B-25933,207,-100,2,Clothing,Saree,UPI,21-01-2012
B-26081,359,-338,5,Furniture,Bookcases,COD,01-01-2011
B-25650,351,-47,8,Electronics,Phones,COD,22-09-2014
B-25850,485,199,4,Clothing,Saree,EMI,26-01-2017
B-25643,37,-23,4,Clothing,Shirt,UPI,25-09-2011
B-26100,34,10,2,Clothing,T-shirt,Debit Card,29-01-2016
B-25964,346,108,3,Furniture,Chairs,COD,08-11-2012
B-25676,342,-103,4,Electronics,Electronic Games,COD,23-11-2015
B-25628,35,-8,2,Furniture,Furnishings,Debit Card,19-12-2011
B-25891,121,41,4,Clothing,Stole,UPI,26-02-2018
B-25903,336,57,2,Electronics,Phones,COD,02-12-2010
B-25851,336,71,3,Furniture,Bookcases,COD,05-11-2013
B-26089,27,4,1,Clothing,Hankerchief,COD,11-09-2018
B-25996,333,50,2,Electronics,Phones,COD,19-06-2018
B-25881,36,7,3,Clothing,Leggings,Debit Card,17-10-2010
B-25621,333,-15,3,Electronics,Phones,COD,15-10-2018
B-25727,327,114,4,Clothing,Trousers,COD,07-12-2012
B-25843,18,6,3,Clothing,Hankerchief,UPI,05-04-2014
B-26050,325,32,7,Clothing,T-shirt,COD,28-03-2016
B-25741,482,-6,7,Electronics,Electronic Games,EMI,16-12-2013
B-25756,465,-33,4,Electronics,Phones,EMI,17-01-2012
B-25787,40,-12,3,Clothing,Shirt,COD,03-03-2014
B-25603,107,36,6,Clothing,Stole,COD,15-05-2018
B-25655,312,-312,7,Furniture,Chairs,COD,13-03-2013
B-26096,451,25,3,Electronics,Phones,EMI,04-12-2015
B-25962,312,62,1,Electronics,Electronic Games,COD,24-11-2016
B-26007,311,72,2,Furniture,Bookcases,COD,29-01-2020
B-26088,11,5,2,Clothing,Hankerchief,UPI,05-04-2011
B-25673,37,-5,3,Clothing,T-shirt,Debit Card,16-06-2016
B-25664,444,-200,4,Electronics,Phones,EMI,03-05-2018
B-25642,434,26,11,Clothing,Shirt,Credit Card,05-11-2012
B-25987,299,0,6,Clothing,Stole,COD,01-03-2011
B-25903,37,17,3,Clothing,Hankerchief,Debit Card,23-12-2015
B-25770,299,113,2,Furniture,Bookcases,COD,21-06-2019
B-25840,298,74,2,Furniture,Bookcases,COD,26-03-2014
B-25846,94,7,7,Clothing,Leggings,UPI,18-11-2019
B-25745,296,225,11,Clothing,Saree,COD,22-08-2013
B-26073,37,17,3,Clothing,Hankerchief,Debit Card,20-12-2014
B-26030,291,93,2,Electronics,Printers,COD,09-02-2014
B-25678,327,-39,1,Electronics,Phones,COD,22-05-2020
B-26035,291,119,11,Clothing,Saree,COD,11-05-2015
B-25896,287,-66,6,Clothing,Kurti,COD,09-02-2015
B-25989,42,15,1,Electronics,Accessories,UPI,18-12-2015
B-26016,429,61,3,Electronics,Electronic Games,Credit Card,22-08-2015
B-26009,285,128,2,Electronics,Printers,COD,20-12-2011
B-25915,277,3,1,Electronics,Electronic Games,COD,06-02-2011
B-25845,274,-7,4,Electronics,Phones,COD,27-10-2020
B-25645,273,-87,4,Electronics,Phones,COD,21-08-2011
B-25803,269,91,1,Electronics,Electronic Games,COD,18-07-2016
B-26030,11,5,1,Clothing,Skirt,COD,22-10-2016
B-25955,39,2,2,Clothing,Saree,Debit Card,27-07-2017
B-26096,264,-26,3,Clothing,Trousers,COD,30-04-2019
B-25635,40,16,3,Clothing,Hankerchief,Debit Card,21-10-2014
B-26038,41,19,2,Clothing,T-shirt,Debit Card,22-07-2011
B-25791,253,-63,2,Clothing,Saree,UPI,25-05-2015
B-26014,406,97,7,Furniture,Chairs,Credit Card,13-12-2014
B-25751,32,7,3,Clothing,Hankerchief,COD,01-02-2012
B-25962,260,68,2,Electronics,Printers,COD,16-02-2017
B-26025,41,19,5,Clothing,Hankerchief,Debit Card,02-08-2010
B-26048,401,13,6,Furniture,Chairs,Credit Card,18-01-2015
B-25635,382,30,3,Clothing,Saree,Credit Card,27-03-2011
B-25981,867,251,5,Electronics,Phones,COD,04-12-2013
B-25610,43,0,3,Clothing,Saree,Debit Card,04-03-2019
B-25733,43,-43,7,Clothing,Stole,Debit Card,27-10-2013
B-25977,74,29,3,Clothing,Stole,COD,15-06-2017
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card,15-05-2020
B-25612,259,-55,2,Furniture,Chairs,COD,17-08-2014
B-25608,257,23,5,Clothing,Hankerchief,COD,06-07-2015
B-25752,76,27,5,Clothing,Stole,COD,16-09-2018
B-25700,44,-32,3,Clothing,Stole,Debit Card,03-03-2017
B-25856,257,3,2,Clothing,Saree,COD,27-05-2014
B-26026,255,76,9,Clothing,Hankerchief,COD,12-05-2013
B-25861,44,14,3,Clothing,Hankerchief,Debit Card,08-11-2014
B-25673,45,-2,4,Clothing,Shirt,COD,26-02-2018
B-25681,44,-3,1,Clothing,Saree,Debit Card,22-02-2012
B-26051,382,119,2,Clothing,Saree,Credit Card,12-05-2013
B-25951,250,100,3,Clothing,Trousers,COD,03-03-2019
B-25799,45,-15,2,Furniture,Chairs,COD,27-11-2013
B-26053,246,61,2,Furniture,Bookcases,COD,27-09-2020
B-26030,50,25,5,Clothing,Stole,COD,02-08-2015
B-26054,246,98,5,Clothing,Hankerchief,COD,03-01-2010
B-25696,44,99,3,Clothing,Kurti,Debit Card,13-03-2015
B-25660,245,-78,3,Clothing,Saree,COD,02-11-2015
B-25858,245,30,2,Clothing,Saree,COD,09-04-2020
B-26045,376,0,7,Clothing,Stole,Credit Card,14-10-2015
B-25850,45,1,3,Clothing,T-shirt,Debit Card,25-10-2015
B-25781,45,-28,2,Clothing,Stole,Debit Card,09-03-2017
B-25918,244,-122,5,Furniture,Furnishings,COD,30-11-2019
B-25971,244,83,2,Furniture,Bookcases,COD,01-03-2010
B-25870,10,4,1,Clothing,Kurti,UPI,01-05-2014
B-25770,375,180,3,Furniture,Bookcases,Credit Card,26-05-2016
B-25757,46,14,5,Clothing,Skirt,Debit Card,02-03-2016
B-25699,49,-31,2,Clothing,Stole,UPI,01-10-2011
B-25776,47,-20,2,Clothing,Kurti,Debit Card,22-06-2011
B-25893,355,-114,7,Clothing,Stole,Credit Card,26-11-2010
B-25985,32,8,5,Clothing,Hankerchief,UPI,19-02-2018
B-25681,243,-14,2,Furniture,Chairs,COD,23-06-2017
B-26063,241,-77,4,Electronics,Electronic Games,COD,17-12-2015
B-26032,47,15,5,Clothing,Saree,Debit Card,06-02-2018
B-26001,50,-10,6,Clothing,Skirt,Debit Card,15-02-2013
B-26056,15,6,2,Clothing,Hankerchief,COD,21-09-2017
B-25850,148,24,3,Clothing,Stole,COD,29-07-2011
B-25767,299,-28,3,Electronics,Electronic Games,UPI,02-04-2019
B-25693,68,-30,1,Electronics,Phones,UPI,18-12-2012
B-25850,52,18,5,Clothing,Leggings,Debit Card,31-03-2019
B-25796,239,-162,5,Furniture,Chairs,COD,25-12-2013
B-26053,27,6,3,Clothing,Skirt,COD,19-01-2011
B-25650,238,20,2,Clothing,Saree,COD,17-07-2020
B-25961,48,16,3,Clothing,Shirt,COD,26-09-2013
B-26023,66,22,3,Clothing,Stole,UPI,14-02-2016
B-25809,53,24,1,Clothing,Hankerchief,Debit Card,14-09-2013
B-25621,233,-10,5,Electronics,Electronic Games,COD,06-02-2013
B-25854,53,-2,3,Clothing,Saree,Debit Card,23-07-2019
B-26057,54,8,4,Clothing,T-shirt,Debit Card,14-10-2015
B-25688,352,-345,5,Clothing,Saree,Credit Card,10-07-2017
B-25885,349,0,7,Clothing,Stole,Credit Card,22-08-2014
B-25753,341,-85,6,Clothing,Trousers,Credit Card,23-08-2011
B-25981,54,12,3,Clothing,Saree,Debit Card,16-06-2017
B-26055,57,7,2,Clothing,Shirt,UPI,15-02-2014
B-25714,340,20,7,Clothing,Shirt,Credit Card,09-06-2016
B-26055,227,48,5,Clothing,Stole,COD,29-01-2018
B-25989,330,81,1,Furniture,Bookcases,Credit Card,06-01-2019
B-25710,216,-38,6,Furniture,Furnishings,UPI,31-08-2017
B-25773,224,-143,3,Furniture,Chairs,COD,15-10-2013
B-25661,55,-33,2,Furniture,Chairs,Debit Card,02-07-2013
B-26021,49,21,1,Clothing,Stole,UPI,16-09-2011
B-26057,224,87,3,Clothing,Trousers,COD,29-11-2019
B-25858,223,27,2,Furniture,Bookcases,COD,29-07-2014
B-25857,324,39,8,Electronics,Accessories,Credit Card,28-01-2014
B-25656,56,18,2,Clothing,Hankerchief,Debit Card,02-04-2015
B-25999,223,62,7,Clothing,Shirt,COD,28-10-2012
B-25856,10,2,2,Clothing,Skirt,COD,30-12-2020
B-25926,57,6,5,Clothing,Leggings,Debit Card,15-03-2016
B-25728,322,-113,4,Clothing,Saree,Credit Card,10-05-2020
B-26076,219,4,2,Clothing,Saree,COD,20-01-2014
B-25913,103,21,7,Clothing,Stole,UPI,18-03-2020
B-25703,47,-27,4,Clothing,Saree,COD,10-01-2015
B-25858,219,0,1,Clothing,Saree,COD,29-01-2011
B-25727,57,-48,6,Clothing,Leggings,Debit Card,31-07-2013
B-26020,319,102,6,Electronics,Accessories,Credit Card,19-09-2013
B-26003,315,-8,3,Furniture,Chairs,Credit Card,11-01-2017
B-25925,314,-41,3,Electronics,Electronic Games,Credit Card,27-08-2017
B-26087,311,40,1,Electronics,Electronic Games,EMI,11-02-2016
B-25810,307,74,3,Electronics,Accessories,EMI,10-11-2013
B-25858,294,109,7,Electronics,Accessories,EMI,04-11-2012
B-25861,216,-83,3,Electronics,Electronic Games,COD,14-04-2020
B-25661,58,-42,2,Furniture,Chairs,Debit Card,15-04-2014
B-25943,48,20,4,Clothing,Stole,UPI,23-08-2011
B-25955,54,14,3,Clothing,T-shirt,UPI,16-12-2019
B-26051,216,50,4,Clothing,Stole,COD,03-02-2015
